#Midpoint,#Uncertainty,#type
2454515.52496,0.00043,BJD_TDB
2454836.4034,0.00028,BJD_TDB
2454840.76893,0.00062,BJD_TDB
2455140.90981,0.00042,BJD_TDB
2455147.45861,0.00043,BJD_TDB
2455163.83061,0.00032,BJD_TDB
2455172.56138,0.00036,BJD_TDB
2455209.66895,0.00046,BJD_TDB
2455210.76151,0.00041,BJD_TDB
2455230.40669,0.00019,BJD_TDB
2455254.41871,0.00043,BJD_TDB
2455494.52999,0.00072,BJD_TDB
2455498.8959,0.00079,BJD_TDB
2455509.80971,0.00037,BJD_TDB
2455510.90218,0.00031,BJD_TDB
2455518.5407,0.0004,BJD_TDB
2455542.5521,0.0004,BJD_TDB
2455542.55273,0.00028,BJD_TDB
2455566.56385,0.00028,BJD_TDB
2455590.57561,0.00068,BJD_TDB
2455598.21552,0.00035,BJD_TDB
2455600.398,0.00029,BJD_TDB
2455601.4901,0.00024,BJD_TDB
2455603.67261,0.00029,BJD_TDB
2455623.31829,0.00039,BJD_TDB
2455876.52786,0.00027,BJD_TDB
2455887.44198,0.00021,BJD_TDB
2455888.5334,0.00027,BJD_TDB
2455890.71635,0.00024,BJD_TDB
2455903.81357,0.00032,BJD_TDB
2455920.18422,0.00031,BJD_TDB
2455923.4585,0.00022,BJD_TDB
2455924.00411,0.0021,BJD_TDB
2455946.37823,0.00018,BJD_TDB
2455947.47015,0.00017,BJD_TDB
2455948.56112,0.00033,BJD_TDB
2455951.83534,0.00011,BJD_TDB
2455952.9272,0.0001,BJD_TDB
2455959.47543,0.00017,BJD_TDB
2455960.56686,0.00032,BJD_TDB
2455970.38941,0.00039,BJD_TDB
2455971.48111,0.00035,BJD_TDB
2455982.39509,0.00034,BJD_TDB
2455983.48695,0.00035,BJD_TDB
2455984.57797,0.00032,BJD_TDB
2455985.66975,0.00042,BJD_TDB
2455996.58378,0.00037,BJD_TDB
2456005.31533,0.00037,BJD_TDB
2456006.40637,0.00031,BJD_TDB
2456245.42729,0.00033,BJD_TDB
2456249.79404,0.00039,BJD_TDB
2456273.80514,0.0003,BJD_TDB
2456282.53584,0.0003,BJD_TDB
2456284.71857,0.0003,BJD_TDB
2456297.81605,0.0003,BJD_TDB
2456302.18179,0.00046,BJD_TDB
2456305.45536,0.00024,BJD_TDB
2456319.64424,0.00038,BJD_TDB
2456328.37556,0.00027,BJD_TDB
2456329.46733,0.00029,BJD_TDB
2456604.50489,0.00021,BJD_TDB
2456605.59624,0.0003,BJD_TDB
2456606.6876,0.00033,BJD_TDB
2456607.77938,0.00071,BJD_TDB
2456629.60726,0.00019,BJD_TDB
2456630.69917,0.00043,BJD_TDB
2456654.71047,0.00034,BJD_TDB
2456659.07598,0.00034,BJD_TDB
2456662.35014,0.00019,BJD_TDB
2456663.44136,0.00019,BJD_TDB
2456664.53256,0.00031,BJD_TDB
2456674.3556,0.00028,BJD_TDB
2456677.63039,0.00032,BJD_TDB
2456688.54384,0.0004,BJD_TDB
2456694.00161,0.00029,BJD_TDB
2456703.82417,0.00029,BJD_TDB
2456711.46415,0.00025,BJD_TDB
2456719.10428,0.00034,BJD_TDB
2456721.28692,0.00034,BJD_TDB
2456722.37807,0.00046,BJD_TDB
2456986.50195,0.00043,BJD_TDB
2457010.51298,0.00039,BJD_TDB
2457012.69617,0.00049,BJD_TDB
2457045.43831,0.00046,BJD_TDB
2457046.53019,0.00049,BJD_TDB
2457059.62713,0.00035,BJD_TDB
2457060.71839,0.00036,BJD_TDB
2457067.26715,0.00022,BJD_TDB
2457068.35834,0.0002,BJD_TDB
2457103.28423,0.00031,BJD_TDB
2457345.57867,0.00042,BJD_TDB
2457390.32708,0.00033,BJD_TDB
2457391.41818,0.00033,BJD_TDB
2457426.34324,0.00055,BJD_TDB
2457427.43496,0.00023,BJD_TDB
2457671.91324,0.00035,BJD_TDB
2457706.83791,0.00037,BJD_TDB
2457765.77515,0.00028,BJD_TDB
2457766.86633,0.00039,BJD_TDB
2457776.68869,0.00029,BJD_TDB
2457788.69464,0.00048,BJD_TDB
2457800.69978,0.00032,BJD_TDB
